Region,Class,Cluster,Adcyap1r1 Amount,Adcyap1r1 P-Val
Globus Pallidus,Astrocyte,Astrocyte_Gja1 [#5],3.784189634,0
Substantia Nigra,Astrocyte,Astrocyte_Gja1 [#7],3.610917913,0
Entopeduncular,Astrocyte,Astrocyte_Gja1 [#7],3.496507561,2.96E-137
Thalamus,Astrocyte,Astrocyte_Gja1 [#11],3.496507561,0
Hippocampus,Polydendrocyte,Polydendrocyte_Tnr [#9],3.258096538,2.27E-92
Posterior Cortex,Polydendrocyte,Polydendrocyte_Tnr [#10],3.218875825,2.25E-115
Hippocampus,Astrocyte,Astrocyte_Gja1 [#7],3.218875825,0
Entopeduncular,Polydendrocyte,Polydendrocyte_Cacng4 [#6],3.17805383,1.69E-23
Striatum,Polydendrocyte,Polydendrocytes_Tnr [#5],3.135494216,3.08E-106
Globus Pallidus,Polydendrocyte,Polydendrocyte_Tnr [#4],3.091042453,1.94E-12
Cerebellum,Astrocyte,Astrocyte_Gja1 [#8],3.044522438,1.83E-34
Posterior Cortex,Astrocyte,Astrocyte_Gja1 [#8],3.044522438,0
Substantia Nigra,Polydendrocyte,Polydendrocyte_Cacng4 [#6],3.044522438,1.76E-14
Frontal Cortex,Polydendrocyte,Polydendrocyte_Tnr [#10],2.995732274,9.99E-134
Frontal Cortex,Astrocyte,Astrocyte_Gja1 [#8],2.890371758,0
Frontal Cortex,Neuron,Interneuron_MGE_Sst-Pvalb [#2],2.833213344,0
Posterior Cortex,Neuron,Interneuron_MGE_Sst-Pvalb [#5],2.833213344,1.32E-215
Striatum,Astrocyte,Astrocyte_Gja1 [#4],2.833213344,0
Cerebellum,Astrocyte,BergmannGlia_Gpr37l1 [#7],2.772588722,5.32E-172
Hippocampus,Neuron,Interneuron_Gad2 [#1],2.772588722,8.41E-147
Posterior Cortex,Neuron,Interneuron_CGE_Cplx3-Synpr [#4],2.708050201,1.58E-104
Hippocampus,Neuron,Neuron_Dentate_C1ql2 [#4],2.708050201,0
Frontal Cortex,Neuron,Interneuron_CGE_Cplx3-Synpr [#1],2.63905733,0
